Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF,21,MIA,35,2,491,84,145,0.5793103448275863,0,0,-1.0,84,145,0.5793103448275863,44,81,0.5432098765432098,46,95,141,20,15,19,32,58,212
2,Jaylen Adams,PG,24,MIL,7,0,18,1,8,0.125,0,2,0.0,1,6,0.16666666666666666,0,0,-1.0,0,3,3,2,0,0,0,1,2
3,Steven Adams,C,27,NOP,33,33,918,115,187,0.6149732620320856,0,1,0.0,115,186,0.6182795698924731,35,79,0.4430379746835443,133,161,294,69,29,20,50,63,265
4,Bam Adebayo,C,23,MIA,33,33,1119,236,419,0.5632458233890215,2,6,0.3333333333333333,234,413,0.5665859564164649,160,189,0.8465608465608465,72,241,313,179,29,34,98,80,634
5,LaMarcus Aldridge,C,35,SAS,21,18,544,115,248,0.4637096774193548,27,75,0.36,88,173,0.5086705202312138,31,37,0.8378378378378378,17,77,94,36,8,18,20,36,288
6,Ty-Shon Alexander,SG,22,PHO,3,0,8,0,3,0.0,0,1,0.0,0,2,0.0,0,0,-1.0,0,1,1,1,0,0,0,1,0
7,Nickeil Alexander-Walker,SG,22,NOP,28,3,495,86,211,0.4075829383886256,30,98,0.30612244897959184,56,113,0.49557522123893805,28,35,0.8,5,61,66,54,28,9,32,44,230
8,Grayson Allen,SG,25,MEM,23,12,551,67,164,0.40853658536585363,46,113,0.40707964601769914,21,51,0.4117647058823529,34,38,0.8947368421052632,8,57,65,50,23,3,21,30,214
9,Jarrett Allen,C,22,TOT,35,17,977,172,257,0.669260700389105,4,8,0.5,168,249,0.6746987951807228,123,166,0.7409638554216867,111,235,346,60,16,59,54,55,471
9,Jarrett Allen,C,22,BRK,12,5,320,44,65,0.676923076923077,0,0,-1.0,44,65,0.676923076923077,46,61,0.7540983606557377,38,87,125,20,7,19,22,21,134
9,Jarrett Allen,C,22,CLE,23,12,657,128,192,0.6666666666666666,4,8,0.5,124,184,0.6739130434782609,77,105,0.7333333333333333,73,148,221,40,9,40,32,34,337
10,Al-Farouq Aminu,PF,30,ORL,9,6,163,17,43,0.3953488372093023,6,15,0.4,11,28,0.39285714285714285,7,9,0.7777777777777778,9,28,37,15,8,5,10,9,47
11,Kyle Anderson,PF,27,MEM,30,30,829,146,306,0.477124183006536,46,121,0.38016528925619836,100,185,0.5405405405405406,64,84,0.7619047619047619,28,155,183,105,36,21,46,54,402
12,Giannis Antetokounmpo,PF,26,MIL,35,35,1189,368,661,0.556732223903177,39,137,0.2846715328467153,329,524,0.6278625954198473,240,363,0.6611570247933884,64,344,408,205,44,49,128,106,1015
13,Kostas Antetokounmpo,PF,23,LAL,3,0,19,1,3,0.3333333333333333,0,0,-1.0,1,3,0.3333333333333333,1,2,0.5,2,6,8,0,1,2,5,3,3
14,Thanasis Antetokounmpo,SF,28,MIL,26,0,227,26,43,0.6046511627906976,2,9,0.2222222222222222,24,34,0.7058823529411765,6,13,0.46153846153846156,26,29,55,18,8,6,19,33,60
15,Carmelo Anthony,PF,36,POR,34,3,870,166,402,0.4129353233830846,60,155,0.3870967741935484,106,247,0.4291497975708502,80,95,0.8421052631578947,19,94,113,50,31,27,35,72,472
16,Cole Anthony,PG,20,ORL,25,17,667,101,269,0.3754646840148699,27,83,0.3253012048192771,74,186,0.3978494623655914,46,55,0.8363636363636363,20,91,111,94,17,11,51,51,275
17,OG Anunoby,SF,23,TOR,23,23,769,114,238,0.4789915966386555,49,124,0.3951612903225806,65,114,0.5701754385964912,40,53,0.7547169811320755,33,99,132,38,37,17,38,64,317
18,Ryan Arcidiacono,PG,26,CHI,18,0,198,21,50,0.42,11,32,0.34375,10,18,0.5555555555555556,8,9,0.8888888888888888,2,31,33,23,5,0,4,16,61
19,D.J. Augustin,PG,33,MIL,34,6,664,64,183,0.34972677595628415,45,123,0.36585365853658536,19,60,0.31666666666666665,35,39,0.8974358974358975,11,35,46,103,19,1,30,27,208
20,Deni Avdija,SF,20,WAS,30,16,646,68,157,0.43312101910828027,31,87,0.3563218390804598,37,70,0.5285714285714286,11,19,0.5789473684210527,13,127,140,39,20,6,24,75,178
